cohort,condition_id,trades,sum_edge
no grade,0x77dedb433076a3ee576f5d5754d2447b49330fa9b057f409b464d6cea69ffb5a,1,-0.610000
no grade,0x4236c071936e43ede51352d16393ec66f4b71153e1f2c9734218ec9b57675a88,2,0.000000
no grade,0x1013f95b35ede77749f24c569f16ed983ea4e4d2db0a732250ec04e436587460,1,0.140163
S/A/B,0xc5c075c77d2b8a98606097f5e42c3e907a66debf4a4058131dc0160235fa8fed,3,0.380000
D/F,0xb0b52b7268ffb070a133a5c1faa8306da115b7a43254b4a86d0b289d5a295cf5,1,-0.480000
no grade,0x04ba2011a9bd82d9773f34928d5d0e9bd0f36e0bab504689e11e467fcdf7ec23,6,0.192374
C,0x4ac818ea083a05fd123b850d67c7e5bbe29964e8819ae414c8f9a86739fe7733,2,-1.070000
no grade,0x9bcdcbf4ed1a86121629b3362a580bbecbca7e3a71f9a868c9c82a0faf99eaa1,3,0.620000
no grade,0xf18aa4c03f19f6665588f743c9fa97852bf75a5a5ba6c0125336a8b428315f92,1,0.425829
D/F,0xfa086a518e7f6045b17e542de8fbab13f20b19fbbbcf05c3e26e78540c48b38d,1,-0.646389
no grade,0xdadaa33411b199e2ee417d83e40fb5fe6eb05ec8f55beb2c92349d2f6de0db9b,2,-0.379645
S/A/B,0xf2dbce3795ec857534dde21ec1cc07aed421c1cfc8d632557b74dbd2a81ea181,5,0.957556
D/F,0xc4b6e6f463d4041c2f88b040c13f3b4c341d3d353fceb96a9c993e81c28bca5d,2,0.700000
S/A/B,0xfa52f5817ea613138cbd376abf4adf5d128dcee82c7b04751409577b70cb15bc,3,0.893936
D/F,0xb9c31e57e2861fd692364013cdadec30aeff9eda94cb8ac3ef00cb833d0eef0f,1,-0.640000
S/A/B,0x41b4a12d3c1fbf7a65b306b28d2738b4708adf5527a78cefc2f75f63a766983a,3,0.169524
S/A/B,0x1d88092b2e151927cc5fc6a02ae3f84fb0551d2b44c6c5c961bd530d53638f9a,9,0.233864
D/F,0x4c93a2644e21bacc088f233bb4322db229d3bc1695026f066412d827001c59e6,2,0.114000
no grade,0x621f09a374447eb0965f70f78e67bb79dd773e7ca76a7646f1dd94b787597968,4,-2.354910
no grade,0xd9640cdbc7dbbab2b68a99ac796318ee9e667846d479847e00fe0dea1c7745cd,13,0.570000
C,0xacc91369e8ab91b13e8c7e9dfecc5798f9ea6a64776f89742f13683b68f6420f,5,1.530000
D/F,0xb232c0283440dabce4ba5ce9891419645ae246561b98267952ff83b89be088d7,1,-0.620000
no grade,0x7806f3a191784bfedb4bb3d99db890d05a834e413a50ecbf6893f7926089e45b,1,-0.260000
D/F,0x7f4205645ac06cb2ed45683ebd85efc9446e16e3e600e575dd4f8ace16cd17e9,2,-0.725066
no grade,0x35ca7676a418724a3d5b8682a67af1c61f6c0173510e48a737cf495049da056d,1,0.780000
S/A/B,0x56ec87046a910843de2b83ab0e1f2a0b3cdee947b7c450cf36cddeb219a7cef2,3,0.530000
C,0x221b05db581e0beb3bd140683b89b06f6bb565f67674fb7243c6d3789ee18b96,20,-1.470000
S/A/B,0x1906c02e001a7b78662da30a861af628b5c0aa6d0a1da6015d6e04edad8b4046,1,0.300000
