soccer:arg	arg-lan-iac-2026-08-02	Instituto AC Córdoba	CA Lanús
soccer:arg	arg-new-boc-2026-08-02	CA Boca Juniors	CA Newell's Old Boys
soccer:arg	arg-aaj-pla-2026-03-22	CA Platense	AA Argentinos Juniors
soccer:arg	arg-cat-bel-2026-08-29	CA Belgrano	CA Tucumán
soccer:arg	arg-bel-def-2026-08-23	CSyD Defensa y Justicia	CA Belgrano
soccer:arg	arg-boc-est-2026-08-05	Estudiantes de La Plata	CA Boca Juniors
soccer:bun	bun-fre-wer-2026-02-07	SV Werder Bremen	SC Freiburg
soccer:bun	bun-b04-lei-2026-05-02	RB Leipzig	Bayer 04 Leverkusen
soccer:bun	bun-mai-moe-2025-12-05	Borussia Mönchengladbach	FSV Mainz 05
soccer:bun	bun-hsv-ein-2025-12-20	Eintracht Frankfurt	Hamburger SV
soccer:bun	bun-b04-mai-2026-02-28	1. FSV Mainz 05	Bayer 04 Leverkusen
soccer:bun	bun-moe-dor-2026-05-03	BV Borussia 09 Dortmund	Borussia Mönchengladbach
soccer:bun	bun-fre-wol-2026-05-03	VfL Wolfsburg	SC Freiburg
soccer:bun	bun-hof-wol-2026-03-14	VfL Wolfsburg	TSG 1899 Hoffenheim
soccer:bun	bun-bay-stu-2026-04-19	VfB Stuttgart	FC Bayern München
soccer:bun	bun-bay-hof-2026-02-08	TSG 1899 Hoffenheim	FC Bayern München
soccer:bun	bun-pau-hei-2025-12-13	1. FC Heidenheim 1846	FC St. Pauli 1910
soccer:bun	bun-ein-aug-2025-12-13	FC Augsburg	Eintracht Frankfurt
soccer:bun	bun-uni-pau-2026-04-05	FC St. Pauli 1910	1. FC Union Berlin
soccer:bun	bun-pau-wol-2026-05-16	VfL Wolfsburg	FC St. Pauli 1910
soccer:bun	bun-mai-bay-2026-04-25	FC Bayern München	1. FSV Mainz 05
soccer:bun	bun-elv-bay-2026-09-13	FC Bayern München	SV 07 Elversberg
soccer:bun	bun-lei-dor-2026-02-21	BV Borussia 09 Dortmund	RB Leipzig
soccer:bun	bun-hei-uni-2026-04-11	1. FC Union Berlin	1. FC Heidenheim 1846
soccer:bun	bun-koe-wer-2026-09-12	SV Werder Bremen	1. FC Köln
soccer:bun	bun-lei-wol-2026-02-15	VfL Wolfsburg	RB Leipzig
soccer:col	col-sar-it-2026-07-09	FC Inter Turku	FK Sarajevo
soccer:col	col-deb-kob-2026-08-06	FC København	Debreceni VSC
soccer:col	col-rfs-ves-2026-07-23	ÍF Vestri	FK Rīgas Futbola Skola
soccer:col	col-cel-she1-2025-12-18	Shelbourne FC	NK Celje
soccer:col	col-rfc1-ki-2026-08-27	KÍ	Rīga FC
soccer:col	col-noa-leg-2025-12-11	Legia Warszawa	Noah FA
soccer:col	col-glt-rfs-2026-07-09	FK Rīgas Futbola Skola	Glentoran FC
soccer:col	col-bohe-stj1-2026-07-09	St Joseph's FC	Bohemian FC
soccer:col	col-haj-zal-2026-08-13	FK Žalgiris Vilnius	HNK Hajduk Split
soccer:col	col-ilv-rij-2026-08-13	HNK Rijeka	Ilves Tampere
soccer:col	col-bohe-mid-2026-08-06	FC Midtjylland	Bohemian FC
soccer:col	col-zir-tku-2026-07-08	SK Torpedo Kutaisi	Zirə FK
soccer:col	col-una-laf-2026-07-07	SP La Fiorita	FC UNA Strassen
soccer:col	col-fio-dyn-2025-12-11	FK Dynamo Kyiv	ACF Fiorentina
soccer:col	col-sut-mlv-2026-07-30	FK ML Viciebsk	FK Sutjeska Nikšić
soccer:col	col-bha-tro-2026-08-27	Tromsø IL	Brighton & Hove Albion FC
soccer:col	col-dgj-trf-2026-08-13	Tre Fiori FC	FC Drita
soccer:col	col-az-jag-2025-12-18	Jagiellonia Białystok	AZ
soccer:col	col-it-iba-2026-07-30	Rams Başakşehir FK	FC Inter Turku
soccer:col	col-vik-bor-2026-08-20	FK Borac Banja Luka	KF Víkingur
soccer:elc	elc-wre-por-2026-02-24	Portsmouth FC	Wrexham AFC
soccer:elc	elc-swe-bir-2026-01-20	Birmingham City FC	Sheffield Wednesday FC
soccer:elc	elc-she-oxf-2026-01-04	Oxford United FC	Sheffield United FC
soccer:elc	elc-wre-bur-2026-09-08	Burnley FC	Wrexham AFC
soccer:elc	elc-bol-lin-2026-08-29	Lincoln City FC	Bolton Wanderers FC
soccer:elc	elc-wba-ips-2026-04-25	Ipswich Town FC	West Bromwich Albion FC
soccer:elc	elc-der-oxf-2026-04-18	Oxford United FC	Derby County FC
soccer:elc	elc-por-lei-2026-04-18	Leicester City FC	Portsmouth FC
soccer:elc	elc-sto-qpr-2026-01-17	Queens Park Rangers FC	Stoke City FC
soccer:elc	elc-nor-bir-2026-09-09	Birmingham City FC	Norwich City FC
soccer:elc	elc-wba-cha-2026-02-24	Charlton Athletic FC	West Bromwich Albion FC
soccer:elc	elc-cha-wre-2026-02-28	Wrexham AFC	Charlton Athletic FC
soccer:elc	elc-swa-wre-2025-12-19	Wrexham AFC	Swansea City AFC
soccer:elc	elc-bri-mil-2026-08-15	Millwall FC	Bristol City FC
soccer:elc	elc-pne-sot-2026-05-02	Southampton FC	Preston North End FC
soccer:elc	elc-cha-ips-2026-04-22	Ipswich Town FC	Charlton Athletic FC
soccer:elc	elc-por-qpr-2025-12-26	Queens Park Rangers FC	Portsmouth FC
soccer:elc	elc-mid-nor-2026-01-31	Norwich City FC	Middlesbrough FC
soccer:elc	elc-der-bbr-2026-02-28	Blackburn Rovers FC	Derby County FC
soccer:elc	elc-mil-bir-2026-02-25	Birmingham City FC	Millwall FC
soccer:epl	epl-new-bre-2026-02-07	Brentford FC	Newcastle United FC
soccer:epl	epl-ful-eve-2026-02-07	Everton FC	Fulham FC
soccer:epl	epl-bri-ast-2026-08-23	Aston Villa FC	Brighton & Hove Albion FC
soccer:epl	epl-wol-mun-2025-12-08	Manchester United	Wolves
soccer:epl	epl-eve-liv-2026-04-19	Liverpool FC	Everton FC
soccer:epl	epl-tot-wes-2026-01-17	West Ham United FC	Tottenham Hotspur FC
soccer:epl	epl-bou-mun-2026-03-20	Manchester United FC	AFC Bournemouth
soccer:epl	epl-bre-wol-2026-03-16	Wolverhampton Wanderers FC	Brentford FC
soccer:epl	epl-ars-mun-2026-01-25	Manchester United FC	Arsenal FC
soccer:epl	epl-mac-wes-2025-12-20	West Ham United FC	Manchester City FC
soccer:epl	epl-ast-bre-2026-02-01	Brentford FC	Aston Villa FC
soccer:epl	epl-liv-not-2026-08-29	Nottingham Forest FC	Liverpool FC
soccer:epl	epl-bur-bri-2026-04-11	Brighton & Hove Albion FC	Burnley FC
soccer:epl	epl-liv-ful-2026-09-12	Fulham FC	Liverpool FC
soccer:epl	epl-ars-eve-2026-03-14	Everton FC	Arsenal FC
soccer:epl	epl-ars-liv-2026-01-08	Liverpool FC	Arsenal FC
