grp,condition_id,n,sum_edge
Yes,0x152ce70cc51813f12e1d8e1d73a3cca0a80855524737c97b596bd8da550bf95c,1,0.464742
No,0xef37c87a8207c9686fcffca48c7290247da39fcbabf21995f155a947b31d466a,2,-0.731781
Yes,0x8aed33b7fee7a7df4d9621e85f3b3c9a16c13bddc3cd05fca581302787caa19a,1,0.477239
Yes,0x308283c62cf070eba92ad34e9f0ee64f46d3809d911766e09e6045a6c94ddb08,2,0.945623
Yes,0x4867128965a1c86a189e2091e6e4fc7d48610ad16546b94c529a62efb09ae9c8,1,0.425514
Yes,0xf5327dc9fe9f7f3a89191be4b1f90d3999a991963379988edf3aa940b5190f8a,8,3.933774
No,0xa7bbf8c8dd0eed0be574e165f8c3867ae0282f766705b8f4279e57114d01df79,1,0.330000
No,0xe6ef89a8799219484b35f1a361873d167ccbdea0cda608fdfa2d4073e8e1e22e,10,5.930132
Yes,0xff76c0259a2ad4482c3f6a0a8e1ac79b53ed26572cf5f989676f9def501a0824,1,0.328685
Yes,0xc3842d94e27ae321a32936ec35eba310bd9c6b14b4ddb5a9e2700004e9ad32f7,2,0.650000
No,0xda8683657c28c340940a0f7326c49138771185fce57f945b44797fe4f31f0ffe,1,0.343643
Yes,0x4079ce573fd244502fde030c41185f5c96d6de6f931eb66fc493044bce9b5566,2,0.759310
Yes,0xf8628a7952a3aa81a408bf7bf537c1f58a678317954bcfc00fcd76638193f4a2,3,1.017187
Yes,0x7aa4badc561198364e9f3469f5b29d4b443b2d7361af3275a119e321034fec6a,1,-0.724577
Yes,0x343722479ea47f52be588192c9504c99863135c9d9869c9f55e3541913b44d83,19,-9.330000
No,0x3ce2d76498720005e345192382c763d0b5679b69b6a4e3ed44963905bc01b817,1,0.530000
Yes,0x765b0639a05d9f46c9ce47f70cc0f3bd78b495e657c243d233170abef98e6e5d,3,-1.665819
No,0x92245f53b8d1eaec1b4e873219be519ddfc7f93d51bf2b4ebc042446c6288748,3,-2.309391
No,0x4b5e2b4f79145e6ec947c92c2dc1e7d6da25c42fa3ec5d5bfd52914de3607370,1,0.210000
No,0x04b4ed4cc16eb248ca50132703bb45623eea0d13098f3cadd6800962e235af00,1,-0.674144
Yes,0x5911a77b90fce14cfc3f69cccf5830b364fda1977c7637da3eeb290da14c4552,1,0.381522
Yes,0x68210f2621cee6f4fe7ab09cd5e721c0e1428c3914557b08bb26a68508cae680,15,-7.218289
Yes,0x390fa40a477b1704a5079472bab4b6ae9127913a2c90d1b96157b4adb7fc0bb7,1,0.400000
No,0x4c4b87ff26c8b5f07edcfc80e9dbb56ec6a5ab3376e95d9a1c818c11f3f73a65,1,0.313966
Yes,0xa818d09a818e40f197c9534b4f986c2693d8d096fe3eb94b3106dd72f55a5c74,1,0.580000
Yes,0x3eb940998aa93237749000461c49a63b090411c8dee7f5a3787b470863831514,4,1.048444
No,0x5f862ea4d0e6fd2d1b3394da127f0bfe7089ce3ba22aaa0a4cba8250b8c8e1eb,4,-1.990000
Yes,0x828c7b109fafae85bfc71b6a1e2cb73b2fd3f80935344133365f6eac62114fcc,3,-1.310000
No,0xe6eef12e0f0d6a87feb0b2cc6ee57c21d513453806ab1f93172fc311fcf40cd6,1,-0.569475
Yes,0xe0e68f2cf3b91733705ea4ac21e62d8aaf3aabf81d5329acef3dd132d2420626,3,-1.556379
Yes,0x04b048fa675808059e32b92046a57bca8f9bbe9f91b7f676d0eb73b3ce7b44fa,1,-0.491608
No,0xf64dd2a3da1bba0d6e870f50276faecfdd96383451772387fd34e4a2a8b798f8,1,-0.490000
No,0xf5bc8db22aa41f0d3f8a1064e63d6c990301187dad76e246fa13009a2934ef5a,47,-24.263754
Yes,0xbf7a1b253ecc1cd5ceb6ded1b189c154f0be5013a222cf16d27b4335b90aafe5,1,-0.771803
No,0xf856d8fb9ec0f10734f6012401fa76c82f15d16f5e1d289983afdd49385d352d,2,-1.100000
Yes,0x0c961894d9683fce4fa337a1dcf23709ab652d2433346db3e82d1dc7b2f0709b,2,0.665943
No,0x0eb14827c0e55de386c720191eb556fa1a6b008f5d2513f19a984c5d74a5b06a,12,-6.340000
No,0xf5327dc9fe9f7f3a89191be4b1f90d3999a991963379988edf3aa940b5190f8a,8,-4.077568
Yes,0x5dc7bc1b2e7319e11c4c2ba8d540bab0dff827deec0bf206ece6d78e2d7c379c,4,1.950000
No,0xf8628a7952a3aa81a408bf7bf537c1f58a678317954bcfc00fcd76638193f4a2,1,-0.650436
Yes,0x5f862ea4d0e6fd2d1b3394da127f0bfe7089ce3ba22aaa0a4cba8250b8c8e1eb,6,2.790000
Yes,0xe4e6989a543f0a9a4c258f735ec86e911bdd9630f1f0ab541ff7ab029dd14378,2,1.085987
No,0x063ee9dba3dbb3c949b3847fd9b9432549fabd4abd49cb0d295f4ef2d224fd05,5,-3.000000
No,0x0fda0800bc4e6b9e17ef98cd2ae6eb7e50940b725195ab8552a74aeb88f9dd73,7,-2.260000
Yes,0x1ed0f56f14d9ace6a42b18852249f83a71fd2785bb8329fe2d48949e0efcbe7f,1,-0.534165
Yes,0x8873dcd1abb578210893c06a049e7afc4b37c80078400430f1226403e985931b,1,-0.640000
No,0xf1abec0d7ff65b451b488ebbd1662f6efc970161dfec9dba8932550447971f36,4,1.479735
Yes,0x5c3397b42765a65ea3c63001d79b2700a56df29c9a9e53a7476abe89654fc9a4,5,-2.350844
No,0x66cfac4331e3d4b5a94f24bb2fd39b805ae0126eea5912588f5b95f35b4b0325,7,2.290000
No,0xc56c8d67d81fc39754b59188d7a7ef751334a2b0a9a6f3f4f9fcb4e7164012e4,4,-1.160000
No,0x320a6f3b8a388e1210b950dcf810431e886f0d7b7176dbde5ca9d6fcf6129961,2,1.020000
Yes,0x180e83053530fcb4153b24ab17a69b9566246175cd173f636432ea32414e364a,1,0.320000
No,0xc7f1b0c3286dd2f7005fec9a3c32c1cc6471fc9bc132d9fb7d14396fea80011c,36,15.020000
No,0xd14d4e3141731b381286faaf1aa2fb77df02c80e44b7ed9ae2a55462a861f0a2,1,-0.429994
Yes,0xc3ef886f55ba2abed7cdf8505e80441c8287a1eb2ca66217e49daf0e18f9d308,4,1.212757
Yes,0x16c22426f651531eff8fc9afe63a25adda692a4cdfb95cc634e98f40618d726c,37,14.267995
Yes,0xab3dbfb0b1da0a447693dd4a3c7816c9ef63a275fcf75c0da7008979589bce65,1,0.470000
Yes,0x6eef8822a01461bd5036b357bd951071f444f84d3b3160e26270329bf0d0dc79,1,0.509665
No,0x8e7be77b89451cf53862d6f92bfb06d952286f3dec0a31dd1710f411cf4be2f2,20,7.000000
Yes,0xd866aff944f46a4615f65087622a9577036849e9af94ab516748abfae78610c0,3,1.659321
Yes,0xdd625d43a321cd44a4c81d0764b07c0e2bdbeba97fd890bd8a96ba3c59b06f04,1,-0.900000
Yes,0x0dffa2ee5e3a7fbf0602927eb363476a960b77df25d462fc19e3c3b5a8f2a7f5,6,-2.451429
No,0x91c9016f0745218dcb61d661660b0a63b05f9be4bb6bb1277fdc0442a40eb886,1,0.470000
Yes,0x05a260b4b784b6cc8ce5cd2c8d833f887361a54877a524e929d6c69d0192899e,3,1.650000
No,0xc556e62b657070dac1837736eef6c4785ef908ef1a0b3b4b425b792a653bc363,11,-6.620000
No,0x3c2aba3b1b4f6e9fadc1e71f4c38f817faa0cb15aea01836bdc38b0368991eb9,2,1.118739
Yes,0x83d493be7e78e1822890597cfef89445e3b3edf1de1f3e7f30f045ecdee7c93e,2,-0.940852
Yes,0x3ce2d76498720005e345192382c763d0b5679b69b6a4e3ed44963905bc01b817,2,-1.049708
No,0x093a95d9c8b2add12bc624890abd4556eb7e1b7302fadaa227efa085cc6d4df7,1,-0.600000
Yes,0xa41f35c9d811e7f1ab0cd496ec3d81f8db3406aabb4aafde419ebe6ca2154984,2,0.849517
No,0x7628632aecadac93fb71891dd15999661bdf86b7936fb5a49645e1d7c766dc0e,12,3.650007
No,0xe8152960ef926cc4d2a98849292a6ad550586230784264dbc150ecfa1e98a07d,1,-0.651879
No,0xfe5dcf341ad9f696d864f83efa071c6e898240182d642a11a883bb710e275d35,1,0.500872
No,0x08049446770ad51f241132f14a87efbf7b565dbf5c06c5f965d858e2beb296e2,2,0.400000
Yes,0x8c50508c959d9ccfee837dffb617fd8c6bf74546e8b500a60cd6a7ffcc6cbc2e,1,-0.963572
No,0x47ab3b4c4fc0f8a53c3ccf3f28a2933dd2f0b06fdb516063447d82d073d0534a,1,0.661928
No,0xf7785b3550b2a62933f76451c949c462dcc7b55cae915b5d0c011140fa8414b4,1,-0.560000
No,0x92a0f324140d5424e6c6b28c3c8ecee677cf4eccb98eafdb161bb2f72cba2a74,2,-1.100000
Yes,0x2b217936c708980c52da1aebd4720fc9d1980ce0b1bc28ce0170781b41c94a78,1,-0.469045
Yes,0xf63b6d892e4713f36415db1eeff576ed42ce35358ef4da3e88ff4f04b27c0aea,4,-2.125960
No,0x85a289096356237992ff1e536ebbe6d02c1b41733771c1514b201c2619e47c3b,1,-0.757859
Yes,0xc55334dab68d806ed470731cc26bb0026931e9d6ae0455daf078e8a3bb490b07,1,0.100000
Yes,0xf64dd2a3da1bba0d6e870f50276faecfdd96383451772387fd34e4a2a8b798f8,2,0.950000
Yes,0x3b2806320fdc931b86f8335dbc40832ac1d8aa2c3a07779963f6fdf2652c4c9e,1,-0.420000
Yes,0xf191692a30f7e88de566bce7fe4c8926cf9cae2e5735f2b4a51006040bf89c6c,3,-1.460710
