grp,condition_id,n,sum_edge
In-play | Laying points,0x61a442039dc634b44f4723d3189950e2463b375a04f3d00b3ffe4b59f92056f0,1,-0.584798
Baseball | Taking points,0xe6c3b2566eb3e13b800e6b0d2c8a73662415e6b15c9233c03be8b2f8ee574301,1,-0.680000
In-play | Laying points,0xc7cf1cff6bc27b004f2b8fef8f72113c7c10d24b14eeca2fe903a04e0def3d40,1,-0.280000
In-play | Taking points,0x61a442039dc634b44f4723d3189950e2463b375a04f3d00b3ffe4b59f92056f0,1,0.520000
All sports | Taking points,0xd3021591e7ddfa8d55f8a8e5dd3968cf9bfac344001478adad433c2b44ab1913,1,0.560000
Basketball | Laying points,0xd9daf61da45ea19db959e7f837c22a059955e76dc32f2384b7c0a132b0899346,4,-2.140454
In-play | Taking points,0x6ec32ebe876603b516ab476336ad76b8e48831fdeeb4701b0acb1536772b15d5,7,1.380138
Soccer | Laying points,0x02670845f2d5fcad741f7f31942176168ed91344baf345c83383d4ca9c70ca4c,2,-0.200000
All sports | Laying points,0x4c8ab331b45a96a9fe6fcad49d69754916538aedd90d9879c02f514c9b774527,1,0.350000
Basketball | Laying points,0x3d5b6c38d282a3139a64eaace271235887af2c6a870048e4e96998cf6cbe3d64,11,5.030000
In-play | Taking points,0xdd1c7164c32bc047db2db00b46c0cfdb9a6b017858cd11fca7dbb3800c440078,7,1.250000
Before the start | Laying points,0xb6cec062286640705d6901eb4f889dca34372e59fa114e0482e468d1ca6094a8,1,0.700000
In-play | Laying points,0x21e8bd3302179dfd6acb28d2c119edf19684099efbdf5c39121854f47b9f0cb8,1,-0.552109
Baseball | Laying points,0xd5958e52a98e10a90ce3d564bfa06aba69148bcb009466ea08d09cf0e1f4a487,3,-1.410000
Before the start | Taking points,0xde2f914a07faaf6ee8c51b8fb987d183570babdf39d38d02710f9a90d88d4e5a,1,0.440000
All sports | Taking points,0x30f04cab5b1c8992783204776d1ba22d51f1688357d1424252e1592df2e077a2,4,-2.630000
Baseball | Taking points,0x4dddfe7d41d205f840faa36f47480f30b6ade96067db4ce6620a84373bc69449,1,0.370004
Soccer | Taking points,0x38bd8404abf8308c663ed10a4ce34c0ed5c01dd75f946354e6dccdf004587118,10,3.723118
Before the start | Laying points,0x34744b573a84fde1db875383295c3d5e43a99b97be88445ab341ffd09399a99a,4,-2.000000
Baseball | Laying points,0xf0f6af54d51b91a842ea7ee4fd6723542e2b126090ee5ebc7dfe85a638fecdeb,2,1.060000
Basketball | Taking points,0x5fad8f021ab59912f4fd69536955e3f573f1c135e8ee5c8bd606d98368c1532b,6,-3.170000
Soccer | Laying points,0x06a68fe7025f1c04e6d2c434cd0f92d51c3cb1c460d817e97ed19a222554def3,6,-3.154950
b. 30-50c | Taking points,0x10ded4626b30e31437c2ab76ea61070416e138f35489f37df5c5fa6aab05ded4,1,0.510000
In-play | Laying points,0xf034ec6ad33eee254dd676f8b4ad507786737535d4e1c1ae5be6b21782384793,1,-0.767949
Baseball | Taking points,0xcda36d70354bf088c9d6e3c5b0320de8263786dfc77f2dc8d7f458ac78420364,1,0.119000
Before the start | Laying points,0x5a4e36a4e22afd7b5993018538728e8520fb1aeb771fe4c088f2ad9602a9d5e2,26,11.852073
Before the start | Taking points,0x43d33de7b7838ccda945c6de160590e0a947a74d3cabe53dd5c34f0e648c726f,4,1.570000
In-play | Taking points,0x32413b1395fc238800943cf370861d2dd315f3f3e886939b4e2781c9b1b631b6,1,0.420000
Basketball | Laying points,0x6a7eb958e967ef696ef566d52a66e85885a5c516b59e8c6945a7e959fec876d6,1,0.570000
All sports | Taking points,0x59622385e39f80c95db2567273b4dbf894f335092177f3c770b0465c314ee6d1,66,21.903711
All sports | Laying points,0xb3503aeab63de81df8c66147d6eef3b925dd4939decb7a3520595d6f6c790dce,2,-1.036404
Before the start | Laying points,0xcf8da4a124f8228b23a7f73e711d6f1e9cea8e0559c379c42070abb67964a6ea,1,-0.480000
All sports | Laying points,0x65f85ce17a94d1cc644b03eafb8e7b368082dcc6e06353c118baa93f6be1c137,4,2.560000
Baseball | Taking points,0x197c2828e46bdcdb5739813942f41966a83e4e7a17f41adc807c4fcd22c5ba69,2,0.780000
Before the start | Taking points,0x35c7a91e0be4a1bf6aaa19453995caa0f0c3ee5d1a77936a6db6d65c20bdaaf4,2,0.990000
All sports | Taking points,0x628abe37ae9158ee3d9284dddebf175c380a7f113614b48851fadeca237264b8,4,0.680000
All sports | Laying points,0x3107058cdb0ee34fa0519fd45134f29c65d135d9efa17795793c5d8873a2f5ad,1,0.516865
Basketball | Laying points,0x38ee15c0aff8c59230a908c58a272dbd9f53d0ccae99c239ba609bd681fcb49a,1,0.476951
d. 70c+ | Taking points,0x05e766abf88ca0d565cbbbbba03907d13e50d4a7a3ca24034062b20232e78e08,1,-0.760336
All sports | Laying points,0x6a7eb958e967ef696ef566d52a66e85885a5c516b59e8c6945a7e959fec876d6,1,0.570000
All sports | Laying points,0x267150fdde2f1a69310bd609523b30810a5ddca37e09e62c212b721282ff23ee,1,-0.450000
d. 70c+ | Taking points,0x02670845f2d5fcad741f7f31942176168ed91344baf345c83383d4ca9c70ca4c,16,1.589709
In-play | Laying points,0xbdb3e92be64273cf839bf1d65b97c20c53388510e3e1c19dbf4d53e19724f4e8,1,-0.510000
In-play | Laying points,0x9dcd3d66f1971bf26b828c7f19fdd565290ea6c8b3c2a8b260479c264547cda3,2,0.720922
Before the start | Laying points,0x4c8ab331b45a96a9fe6fcad49d69754916538aedd90d9879c02f514c9b774527,1,0.350000
In-play | Taking points,0x21db22777c5c4ae6c7a2099d2e274975696f5d316183db76d0b7ea79e23af105,1,0.090000
All sports | Laying points,0xe63823b72fd86ecfdbccc8940e52589c23c5a9fac8944b949f97fa3d75db64ff,1,-0.487709
Before the start | Taking points,0x06bdcf32ccab80d3b294dad26ab539d735a57e01e489e4a4f4161f554459d3da,14,4.280000
In-play | Taking points,0xcd155566be8b8ed5db110a4dbc9280b4c0c2a9c0e4a6810c63e4f5963694a522,1,0.186509
