grp,condition_id,n,sum_edge
band f. 80-90c,0x044ff9be7a92d0610d7ad3c88952e344104b24d0489eacb27bbcac947903624a,1,0.110000
all sells,0x1ae2d84ef7ea151b3f8fdace1a043270ba96dc76306105fa65b09a81504fed7b,2,0.619355
band d. 40-60c,0xd7a502be77b6e3c856b602508553ef9227cbd94fb6026c5d7f264ec2868bb6e4,2,1.140000
all sells,0x76259fab0b02b18fa19bf73601e7d26f48967bc32ee207ecefa3587428b89f33,3,0.650000
all sells,0xde662c9ed9af1d04edd1e9cc8e5ffe00512ec415e555af0c797b8b39ff6a9c8e,1,0.121064
all sells,0xa294bafb0da4530036cfa88c393cd16ca6ac6daa0d716460b40c0d7a02e0aa72,1,0.202712
all sells,0x631432a00db0083099f5e6ff52ba701a682e8acfe463f1f2904f859733f351cc,3,0.660000
all sells,0x0ec44018ef55194340d15a46128e89ab2c526cfaa48db80e85e93c2ad6e051a8,5,0.152397
all sells,0xa5f86311db681e5bb7f248fec11f5455d3b98cce68b307b3cd8d8067a65dff6d,3,-0.681375
all sells,0x39d303c92b5f1d195d26023d44b51fe547dd1c8257f8e413bfd8764d0a6b4fb4,3,0.480000
all sells,0xab186f403a2260444ccc536fce775670e1a851d8ceff6b7fff3f5f3d240ba412,13,2.362202
all sells,0xe4bb8ed295d32c76e084b55b72b410f0d9dd862015cd28c8a3c243c903a5cd85,7,-1.732601
band g. 90-98c,0x33063a55e282f991a24b2d7026023d0788740d80391f4e2d0fdc742c5ec3a5ea,1,-0.900000
all sells,0x268c6b546ca3a86c5603d85cd09c833102c782660891197f8e96e6f8bc83b292,1,0.070000
all sells,0x548d9b53b814c282fb7b35d232ef4cd85dfd96db7913dfb12d970fc08a42ea46,5,0.420000
all sells,0x19b73773e0b5bc882d06ea608993523605bb763bac6a0d3538cae439a34599b0,1,0.080000
all sells,0xf5b9feb72a8ba541be7140848a04a74b5afdb3d9e3f2367715d05801ef84ffd4,2,0.680000
all sells,0x563f81f98d96e35c4758ae8c94dba8f5b26cda94951619f0f7a39209ed8c702e,1,0.170000
