grp,condition_id,n,sum_edge
D/F draw Yes,0x11e878643f63c75e36d58024033ae710c19e696f652fa05ba705ab019402a633,26,12.052531
D/F draw Yes,0x12c17c04d2e404bd85a8c65c04cd7e8799a6295c7f74414feec5e867fa40cc5a,8,-2.395441
D/F draw Yes,0x16c51ebf6cea99ba2d958910e743690b40c46c2a426eab1709cd934d8364a96c,15,-4.843264
D/F draw Yes,0x17b02aa48d1a7f7f12b206384c192bfc42aba4af1325bca2311d110fcfe6e3a1,1,-0.290548
D/F draw Yes,0x17c513049e718a37052e27204cc07301d2df29dff5c5e93df9b0cb7398564e24,1,-0.280000
D/F draw Yes,0x17d821a9197f8de3acbb8a0140e70cea9461e95871c58ae7aa9c608d53ad00d0,25,11.231683
D/F draw Yes,0x187651dbb617ad61b8c3342a4a61996273a6a206ff36405c37c5cf029c2f96bb,9,3.954752
D/F draw Yes,0x18f73aca12019d3fc2a03e7af28f6ebcec12634413819605d7cfa3db20073f26,3,-0.129966
D/F draw Yes,0x1f54c5d06e9e7a7a11ed24123ab5743ba5b525745cf1338b7ec23d371e6f55ea,7,-2.490000
D/F draw Yes,0x2575e6ffba4b0221654217dc5cd283c969816a2f2ed4729b39276438e8609077,6,-1.460000
D/F draw Yes,0x264e6793ab225b8fd861f13934ee8a826a864116e1dd727b38a65e2f7cd3f67c,7,-1.470981
D/F draw Yes,0x26954c84bed166fa0da034c310e3bd62e7afa32d299314c352bc32eb08e5a210,4,-1.831365
D/F draw Yes,0x28c19c840bd010dc279a8f14a417a9389c18801b271b407d7634425e8305de0b,3,-0.720000
D/F draw Yes,0x2afe86f96be81a0d89ed776bedbd52d1c75bc47b49e6f0f791ddd009f52faf23,27,10.096055
D/F draw Yes,0x2b4abd4c4f6336b33cdaf7aa65430ef1f4afe7122d1678b1f3d022b4357cdbf5,23,-11.969578
D/F draw Yes,0x2b759e69e6b2f509efebfe969cd26ddf30b84242506ddb5ac1e9a8b36cac22a2,2,-0.440000
D/F draw Yes,0x2d17b7b5c8701296c4348f016076a948f25cb83e23c8b863bfa1e22ed493ae53,13,-3.674984
D/F draw Yes,0x2d8a8c670430061537dd6cb60c0fee0d0e0a4a3430fd00fcb390301f53e7b4d9,30,18.277041
D/F draw Yes,0x344327632a0ab1c28b40003f14bfe75cb7d5bd65c58b4e34199cfc17a77104fe,34,21.004021
D/F draw Yes,0x348549fa8f0babf3da7fe391c3b75c4ae1da0911bb964ea5d743c5abbe9a0e85,1,0.700233
D/F draw Yes,0x353bfdea6f2cae034f1cef73064086e6c904d60d58f96c69644789b510ba862f,5,-1.163272
D/F draw Yes,0x36f93dcdb75e18f9dd7f4bd4f976dd901562e6f779a86c8ac847f154e37e69d2,21,10.930436
D/F draw Yes,0x3774cdf17e49143a4f6e10812df8b06113731493842fccc52dea045a1744ae61,4,-1.150000
D/F draw Yes,0x3b9204e0fcba9234e3eaca1a941a342e4ce82aeb4ba373c668f2e8a72f1d41de,10,-3.198782
D/F draw Yes,0x3e0e84f19abf090dae4490caf1d7f74d5cbaa5d49fa0d64bee52a42b0f71c7e4,5,-1.160000
D/F draw Yes,0x44a0f6adbea52acf0a97b90870a637a0bf577dc09b9b376ea56a0fbe86f68e12,3,-0.580000
D/F draw Yes,0x4b38300fb27196d5ca73ae2cca3d601e107cf305e00358d64b2cdeb712eb5c5d,13,-5.324440
D/F draw Yes,0x4d39d238893ea8f7e0f4d53822a594129b9a98a1fc18744dab57351742e6a702,5,-2.123123
D/F draw Yes,0x4ea95d46a59eb6410e007f7a0f02f631f57ee8344df8379e4853dc9f4d62095b,1,-0.310476
D/F draw Yes,0x51166276fa646ca50165f7d030c297138ed1d62dc41f6ffde21e962c44182074,20,12.702602
D/F draw Yes,0x55aa84891f31cedeaef953dfabbb56214ed9549f2ca3ddfe10d395bc58def557,2,-0.160000
D/F draw Yes,0x577cffeb67b4b292a9f8e29b967e5de1c409333fabb752cf5057768c5e900422,5,-1.215351
D/F draw Yes,0x57dac5b6332f3d53233950105e7768575e511d90338f3f7be5ce993f424675a7,8,-2.913335
D/F draw Yes,0x6257ac3bdd0b512bd6470c21d5dc99ed12ef42b5fd9ad6078fad24d351ebda5c,4,-1.674928
